h_1;h_3;h_6;h_9;h_12;h_24
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
5.6;5.6;5.6;5.6;5.6;5.6
5.2;5.2;5.2;5.2;5.2;5.2
5.1;5.1;5.1;5.1;5.1;5.1
5;5;5;5;5;5
5.1;5.1;5.1;5.1;5.1;5.1
5.2;5.2;5.2;5.2;5.2;5.2
5.5;5.5;5.5;5.5;5.5;5.5
5.7;5.7;5.7;5.7;5.7;5.7
5.8;5.8;5.8;5.8;5.8;5.8
5.3;5.3;5.3;5.3;5.3;5.3
5.2;5.2;5.2;5.2;5.2;5.2
4.8;4.8;4.8;4.8;4.8;4.8
5.4;5.4;5.4;5.4;5.4;5.4
5.2;5.2;5.2;5.2;5.2;5.2
5.1;5.1;5.1;5.1;5.1;5.1
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.5;5.5;5.5;5.5;5.5;5.5
6.1;6.1;6.1;6.1;6.1;6.1
6.1;6.1;6.1;6.1;6.1;6.1
6.6;6.6;6.6;6.6;6.6;6.6
6.6;6.6;6.6;6.6;6.6;6.6
6.9;6.9;6.9;6.9;6.9;6.9
6.9;6.9;6.9;6.9;6.9;6.9
7;7;7;7;7;7
7.1;7.1;7.1;7.1;7.1;7.1
6.9;6.9;6.9;6.9;6.9;6.9
7;7;7;7;7;7
6.6;6.6;6.6;6.6;6.6;6.6
6.7;6.7;6.7;6.7;6.7;6.7
6.5;6.5;6.5;6.5;6.5;6.5
6.1;6.1;6.1;6.1;6.1;6.1
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.6;5.6;5.6;5.6;5.6;5.6
5.5;5.5;5.5;5.5;5.5;5.5
5.5;5.5;5.5;5.5;5.5;5.5
5.4;5.4;5.4;5.4;5.4;5.4
5.7;5.7;5.7;5.7;5.7;5.7
5.6;5.6;5.6;5.6;5.6;5.6
5.4;5.4;5.4;5.4;5.4;5.4
5.7;5.7;5.7;5.7;5.7;5.7
5.5;5.5;5.5;5.5;5.5;5.5
5.7;5.7;5.7;5.7;5.7;5.7
5.9;5.9;5.9;5.9;5.9;5.9
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
5.9;5.9;5.9;5.9;5.9;5.9
5.6;5.6;5.6;5.6;5.6;5.6
5.6;5.6;5.6;5.6;5.6;5.6
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.5;5.5;5.5;5.5;5.5;5.5
5.7;5.7;5.7;5.7;5.7;5.7
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.4;5.4;5.4;5.4;5.4;5.4
5.4;5.4;5.4;5.4;5.4;5.4
5.3;5.3;5.3;5.3;5.3;5.3
5.1;5.1;5.1;5.1;5.1;5.1
5.2;5.2;5.2;5.2;5.2;5.2
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
5.1;5.1;5.1;5.1;5.1;5.1
5.1;5.1;5.1;5.1;5.1;5.1
4.8;4.8;4.8;4.8;4.8;4.8
5;5;5;5;5;5
4.9;4.9;4.9;4.9;4.9;4.9
5.1;5.1;5.1;5.1;5.1;5.1
4.7;4.7;4.7;4.7;4.7;4.7
4.8;4.8;4.8;4.8;4.8;4.8
4.6;4.6;4.6;4.6;4.6;4.6
4.6;4.6;4.6;4.6;4.6;4.6
4.4;4.4;4.4;4.4;4.4;4.4
4.4;4.4;4.4;4.4;4.4;4.4
4.3;4.3;4.3;4.3;4.3;4.3
4.2;4.2;4.2;4.2;4.2;4.2
4.1;4.1;4.1;4.1;4.1;4.1
4;4;4;4;4;4
4;4;4;4;4;4
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.7;3.7;3.7;3.7;3.7;3.7
3.7;3.7;3.7;3.7;3.7;3.7
3.6;3.6;3.6;3.6;3.6;3.6
3.8;3.8;3.8;3.8;3.8;3.8
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
4;4;4;4;4;4
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.7;3.7;3.7;3.7;3.7;3.7
3.8;3.8;3.8;3.8;3.8;3.8
3.7;3.7;3.7;3.7;3.7;3.7
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.7;3.7;3.7;3.7;3.7;3.7
3.7;3.7;3.7;3.7;3.7;3.7
3.5;3.5;3.5;3.5;3.5;3.5
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.7;3.7;3.7;3.7;3.7;3.7
3.7;3.7;3.7;3.7;3.7;3.7
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.9;3.9;3.9;3.9;3.9;3.9
4.2;4.2;4.2;4.2;4.2;4.2
4.4;4.4;4.4;4.4;4.4;4.4
4.6;4.6;4.6;4.6;4.6;4.6
4.8;4.8;4.8;4.8;4.8;4.8
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
5.1;5.1;5.1;5.1;5.1;5.1
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.9;5.9;5.9;5.9;5.9;5.9
6.1;6.1;6.1;6.1;6.1;6.1
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
6.1;6.1;6.1;6.1;6.1;6.1
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
6;6;6;6;6;6
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
5.7;5.7;5.7;5.7;5.7;5.7
5.8;5.8;5.8;5.8;5.8;5.8
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
5.6;5.6;5.6;5.6;5.6;5.6
5.6;5.6;5.6;5.6;5.6;5.6
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.3;5.3;5.3;5.3;5.3;5.3
5.2;5.2;5.2;5.2;5.2;5.2
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
4.9;4.9;4.9;4.9;4.9;4.9
4.9;4.9;4.9;4.9;4.9;4.9
4.8;4.8;4.8;4.8;4.8;4.8
4.8;4.8;4.8;4.8;4.8;4.8
4.8;4.8;4.8;4.8;4.8;4.8
4.6;4.6;4.6;4.6;4.6;4.6
4.8;4.8;4.8;4.8;4.8;4.8
4.9;4.9;4.9;4.9;4.9;4.9
5.1;5.1;5.1;5.1;5.1;5.1
5.2;5.2;5.2;5.2;5.2;5.2
5.1;5.1;5.1;5.1;5.1;5.1
5.1;5.1;5.1;5.1;5.1;5.1
5.1;5.1;5.1;5.1;5.1;5.1
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.5;5.5;5.5;5.5;5.5;5.5
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
6.6;6.6;6.6;6.6;6.6;6.6
7.2;7.2;7.2;7.2;7.2;7.2
8.1;8.1;8.1;8.1;8.1;8.1
8.1;8.1;8.1;8.1;8.1;8.1
8.6;8.6;8.6;8.6;8.6;8.6
8.8;8.8;8.8;8.8;8.8;8.8
9;9;9;9;9;9
8.8;8.8;8.8;8.8;8.8;8.8
8.6;8.6;8.6;8.6;8.6;8.6
8.4;8.4;8.4;8.4;8.4;8.4
8.4;8.4;8.4;8.4;8.4;8.4
8.4;8.4;8.4;8.4;8.4;8.4
8.3;8.3;8.3;8.3;8.3;8.3
8.2;8.2;8.2;8.2;8.2;8.2
7.9;7.9;7.9;7.9;7.9;7.9
7.7;7.7;7.7;7.7;7.7;7.7
7.6;7.6;7.6;7.6;7.6;7.6
7.7;7.7;7.7;7.7;7.7;7.7
7.4;7.4;7.4;7.4;7.4;7.4
7.6;7.6;7.6;7.6;7.6;7.6
7.8;7.8;7.8;7.8;7.8;7.8
7.8;7.8;7.8;7.8;7.8;7.8
7.6;7.6;7.6;7.6;7.6;7.6
7.7;7.7;7.7;7.7;7.7;7.7
7.8;7.8;7.8;7.8;7.8;7.8
7.8;7.8;7.8;7.8;7.8;7.8
7.5;7.5;7.5;7.5;7.5;7.5
7.6;7.6;7.6;7.6;7.6;7.6
7.4;7.4;7.4;7.4;7.4;7.4
7.2;7.2;7.2;7.2;7.2;7.2
7;7;7;7;7;7
7.2;7.2;7.2;7.2;7.2;7.2
6.9;6.9;6.9;6.9;6.9;6.9
7;7;7;7;7;7
6.8;6.8;6.8;6.8;6.8;6.8
6.8;6.8;6.8;6.8;6.8;6.8
6.8;6.8;6.8;6.8;6.8;6.8
6.4;6.4;6.4;6.4;6.4;6.4
6.4;6.4;6.4;6.4;6.4;6.4
6.3;6.3;6.3;6.3;6.3;6.3
6.3;6.3;6.3;6.3;6.3;6.3
6.1;6.1;6.1;6.1;6.1;6.1
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
6.2;6.2;6.2;6.2;6.2;6.2
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
5.8;5.8;5.8;5.8;5.8;5.8
5.8;5.8;5.8;5.8;5.8;5.8
5.6;5.6;5.6;5.6;5.6;5.6
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
6.288378987;6.325440814;6.352864287;6.369724432;6.253583634;5.964070139
6.334061935;6.383070404;6.357331619;6.380452314;6.228100039;6.007011155
6.294866202;6.33649103;6.334986802;6.26753951;6.093291783;5.889495665
6.911359929;7.158381086;7.361999665;7.269810129;7.057682807;6.717559666
7.668970172;8.128935535;8.242501434;8.237785495;7.904134665;7.61433709
7.800282597;8.164325733;8.081582845;7.9842555;7.605598954;7.238270888
8.000399143;8.156543559;8.115488298;7.846529762;7.495958374;7.126756371
7.852428975;7.767091683;7.570018716;7.226745399;7.055584754;7.095439583
7.450724777;7.237204565;6.910710684;6.692477467;6.531367318;6.865960699
7.427760385;7.198878368;6.959501089;6.737331451;6.619015361;7.083494592
7.429152687;7.269276744;6.971500978;6.83535216;6.76997778;7.369552327
7.116272437;6.911236475;6.555352933;6.438442867;6.455125845;7.23104738
7.388591724;7.311915736;7.181363675;7.078077192;7.047788186;7.829535575
7.432127398;7.331367509;7.105451612;7.015338416;7.100568677;7.913134357
7.30993141;7.236223009;7.015463817;7.050581722;7.045487782;7.934441073
7.220930773;7.060381001;6.872462683;6.780121317;6.925511145;7.864504188
7.402338035;7.357532595;7.263250123;7.341410262;7.414167409;8.34021819
7.542339582;7.525360654;7.415307539;7.486487898;7.630363739;8.498474114
7.162537737;7.044842816;6.873483861;6.982589448;7.118104506;8.080447992
7.357509101;7.271169233;7.328634281;7.36176088;7.520467376;8.42344063
7.605738829;7.665478756;7.689556783;7.827626881;8.01679048;8.815336586
7.895820233;8.110786117;8.170105934;8.428861287;8.494551359;9.16095296
8.433786271;8.718950266;8.916053274;9.08578448;9.150024073;9.572359234
8.66819304;8.9292256;9.076509434;9.231016947;9.341728507;9.569771014
8.736195158;8.915403751;9.043777143;9.154981452;9.298002248;9.423511997
9.018015489;9.196536092;9.375233666;9.491859202;9.63590054;9.546718218
9.120244115;9.260339923;9.351839359;9.539859117;9.680477472;9.41466385
9.371168881;9.550932074;9.699798326;9.948176474;9.987601798;9.539122859
9.535459478;9.68921233;9.805548779;9.974427663;10.06446244;9.44899149
9.669700719;9.834036449;9.991625554;10.1701074;10.18227487;9.420529482
9.923401264;10.08122136;10.27830095;10.36326982;10.38888742;9.437220046
9.88167929;9.99023693;10.07303396;10.15614749;10.14316309;9.17682781
10.15753492;10.34800073;10.50269683;10.55669458;10.45960135;9.342620437
10.53040135;10.79153508;10.89518282;10.94085184;10.81778475;9.485213133
10.93441518;11.24548648;11.35351141;11.39727557;11.14318626;9.604459268
11.00437062;11.16010369;11.15692936;11.04694199;10.78708994;9.254979613
10.46219783;10.34676748;10.16611847;9.945970008;9.715637398;8.506565359
10.360897;10.17649341;10.01887162;9.759029107;9.535508978;8.5117835
10.25394348;10.05367055;9.761110625;9.534900199;9.404800715;8.502231557
10.0810149;9.938895793;9.594934802;9.437930249;9.2265977;8.399212058
10.05342259;9.879539763;9.577958312;9.307280832;9.108249073;8.283250071
10.03955628;9.874526375;9.57018076;9.318507014;9.104963741;8.314214033
9.327426622;8.949638542;8.394877076;8.061763202;7.953111418;7.573765459
9.282983311;8.999886354;8.6616057;8.411048455;8.215899256;7.871874497
9.150259518;8.813877144;8.366785995;8.083347968;8.09702827;7.804029134
8.574830234;8.206925832;7.681488392;7.558524393;7.488290026;7.443541168
8.369664959;7.985924486;7.596153619;7.322992514;7.33940956;7.314605583
8.113284517;7.748468274;7.36162343;7.21968198;7.269728037;7.373340519
7.82631443;7.49491582;7.103779624;7.030690649;7.107412851;7.265412798
7.639107157;7.378082119;7.088421933;7.042329981;7.108970206;7.284745728
7.689230842;7.528742727;7.357349896;7.341112346;7.423375675;7.520102127
7.633986117;7.523731034;7.384137365;7.415893927;7.494385187;7.579022685
7.345743589;7.179948533;7.007523858;7.023445277;7.099633841;7.263199317
7.123250167;6.937301434;6.811200447;6.793507768;6.892303721;7.178006929
7.424216797;7.418130154;7.448973533;7.521498242;7.626286523;7.730779219
7.517005192;7.587860011;7.578878883;7.70368845;7.811934426;7.804833598
7.312205912;7.33537072;7.307045332;7.40997029;7.442368239;7.493418474
7.448790445;7.475603824;7.555612465;7.573284603;7.621921405;7.617673283
7.228943277;7.174009157;7.112406411;7.147946455;7.266391546;7.405576665
7.243279693;7.209928581;7.216700059;7.330749961;7.367407509;7.474626628
7.329143517;7.335264811;7.378647972;7.417321084;7.513849207;7.564370274
7.184236321;7.185267488;7.169839664;7.268680532;7.333546427;7.447641721
7.21107286;7.214532472;7.25503696;7.299711275;7.371118588;7.456581565
7.306114169;7.352021353;7.407027762;7.47652742;7.558906429;7.584755619
7.21828648;7.244524481;7.237581795;7.307869069;7.399663684;7.448475923
7.40499715;7.497407339;7.592625817;7.679306554;7.714559872;7.633924744
7.473357037;7.547586382;7.597954646;7.64297254;7.72029257;7.606226641
7.112735995;7.059796125;6.976740585;7.036062368;7.101259174;7.167087159
7.080314206;7.012260296;7.014350377;7.021888092;7.097171283;7.17750964
7.078629764;7.032596657;7.011871093;7.054205174;7.191579522;7.267179733
6.953892113;6.917311051;6.876873313;6.991749245;7.093788862;7.181142146
6.992299573;6.987575971;7.023180486;7.094585557;7.180233022;7.197947179
6.700855292;6.610198038;6.548528529;6.581918045;6.718876741;6.878056227
7.124695845;7.239809046;7.412779671;7.555170312;7.600191067;7.505693665
7.304739357;7.44664557;7.531734359;7.625263088;7.738873159;7.546207644
7.118079862;7.216015929;7.253891091;7.409641248;7.383550488;7.236560574
7.292200228;7.363390311;7.496485271;7.486473196;7.503923557;7.29282786
7.224354339;7.256155747;7.278606569;7.315944363;7.370705278;7.214059849
7.00672187;6.970461184;6.924976713;6.963559206;7.000009584;6.937423398
6.886302281;6.811427664;6.784833725;6.78501504;6.832377175;6.826249152
6.965713339;6.948465416;6.956964406;6.991162322;7.066137124;7.020464825
6.986332581;7.010565725;7.00539385;7.077965285;7.14490811;7.057065383
6.909043895;6.912639498;6.905392309;6.959300997;6.989403109;6.906025519
6.612379189;6.50278071;6.431533685;6.412153378;6.480325747;6.552790691
6.535830632;6.438812954;6.410724156;6.429673415;6.507783744;6.618244344
6.561722909;6.517313829;6.49685375;6.54596434;6.672397498;6.753351201
6.560359291;6.574601367;6.573139137;6.683930354;6.760068438;6.785186365
6.320801597;6.253552318;6.201323553;6.22772486;6.321364925;6.438744294
6.254648386;6.188561741;6.20024121;6.250679123;6.323864899;6.469794823
6.186747914;6.120926745;6.103345907;6.1423349;6.292956864;6.466323476
6.040178048;5.994805374;5.968509157;6.081526049;6.191853407;6.392930092
5.991421523;5.948096119;5.961272163;6.025984832;6.145620365;6.346199496
5.871427736;5.824949234;5.828489299;5.913833821;6.047698939;6.285101959
5.974089648;5.997952178;6.078480177;6.196751472;6.31812209;6.479367183
5.819009248;5.809412695;5.819138523;5.911415337;6.059984548;6.276626382
5.676080936;5.648047675;5.682011626;5.789183291;5.891599604;6.154992172
5.70404118;5.690167178;5.760998713;5.842755434;5.989902414;6.245741647
5.677668343;5.702580971;5.760146864;5.906092415;6.053218611;6.298120141
5.71189281;5.768674913;5.863024894;6.001126382;6.119633311;6.318284738
5.430453711;5.390023193;5.400749021;5.479315854;5.614153833;5.946709558
5.564768061;5.592887975;5.732331012;5.869460136;5.970920293;6.231708123
5.441502135;5.435667245;5.472378085;5.56268645;5.752950604;6.08003672
5.350062984;5.38313975;5.4534709;5.629647504;5.730349598;6.053604475
5.648406925;5.75550982;5.947526297;6.062307796;6.199601684;6.377844478
5.440001262;5.494247959;5.547143956;5.683555691;5.827971588;6.102622731
5.414390533;5.458774594;5.571785715;5.702262986;5.779489634;6.059311914
5.345399406;5.340832387;5.417554016;5.485437913;5.644936034;5.988734965
5.269051317;5.288290879;5.351795746;5.503093162;5.644251538;6.021625909
5.418629079;5.492421399;5.631558244;5.772091438;5.915345995;6.21417274
5.236582705;5.256640615;5.309960379;5.436830952;5.586971941;5.974899846
5.000024844;4.951826037;4.990206469;5.092649899;5.221626478;5.73835434
5.178509474;5.208016161;5.356380135;5.48526202;5.646448786;6.097313174
5.209938182;5.290979917;5.39461647;5.573327066;5.762179817;6.188367075
5.320313678;5.464221914;5.634144825;5.842546014;5.934744448;6.292797285
5.295156821;5.380483853;5.525557487;5.630430882;5.748250759;6.154360277
5.221445581;5.28118103;5.406712711;5.540188264;5.642818849;6.115547865
5.335899315;5.422122241;5.579310849;5.704419027;5.839152777;6.273842809
5.332088475;5.428645224;5.547126197;5.697079457;5.83445283;6.274448557
5.442024909;5.568839524;5.730608259;5.879737857;5.984412981;6.374783696
5.47015362;5.573437299;5.712594735;5.830592463;5.958198513;6.351964821
5.440282439;5.520264106;5.636767278;5.773348465;5.886545668;6.309903054
5.346194183;5.37306488;5.453404871;5.556022396;5.697305076;6.186779134
5.203503472;5.192094033;5.245450991;5.360371093;5.515842912;6.085588508
5.388805291;5.454807765;5.604750401;5.760249893;5.923737276;6.393876731
5.437247312;5.531358152;5.652629555;5.820447496;5.999221124;6.438284922
5.234092176;5.269903444;5.342698937;5.495665972;5.628449221;6.164579637
5.517227674;5.628799223;5.851710588;6.008857143;6.136239261;6.54289451
5.758770055;5.946676282;6.156875971;6.34132766;6.513748731;6.808949799
5.966350236;6.230391643;6.465442241;6.704962803;6.764304076;6.945811982
6.051399651;6.250376515;6.469208668;6.593376977;6.646925477;6.82343959
6.283274571;6.499489945;6.754810933;6.899699999;6.925820474;7.020641173
6.419808587;6.616294455;6.808482648;6.912092229;6.975161074;7.032912699
6.474387887;6.658613965;6.818458692;6.940646287;6.94163363;6.983459438
6.704692552;6.8852896;7.07768134;7.146254641;7.15888594;7.11636084
6.88293413;7.076821495;7.237477763;7.32198517;7.330622054;7.215652606
6.797224201;6.906124834;6.966200481;7.006974102;7.002989387;6.944377455
6.947846692;7.052361691;7.167326276;7.205699101;7.171160463;7.060225155
6.970693424;7.031506539;7.072471783;7.07203142;7.102626703;7.001013495
6.809441542;6.816809705;6.790422581;6.818306506;6.803880785;6.781314285
6.916991318;6.927412285;6.96420941;6.958055879;6.964240698;6.894258721
6.905805752;6.914507847;6.906725923;6.913697722;6.949019072;6.886287478
6.991268802;7.044156859;7.069241503;7.115116413;7.103140316;6.983634008
7.039733093;7.082194471;7.103522457;7.109808506;7.111568544;6.966829957
7.306418828;7.433848516;7.533433138;7.589600506;7.543299542;7.265018079
7.380222018;7.487590338;7.531425595;7.535546663;7.513376138;7.199781968
7.434652658;7.531456027;7.581860594;7.601826562;7.506601409;7.172396336
7.474206566;7.511963323;7.534203273;7.472961085;7.426269521;7.095729438
7.404449807;7.411518613;7.376148164;7.341626783;7.274349391;6.996554514
7.606450781;7.664007344;7.688978322;7.658159973;7.587134703;7.209224429
7.828640021;7.944662982;7.980243739;7.964702111;7.885842525;7.3919175
7.759621275;7.816573018;7.771682199;7.720510592;7.613135728;7.15892392
7.634683972;7.591751698;7.517597814;7.414178257;7.296506686;6.926819986
7.590280505;7.503863571;7.408835757;7.288721839;7.223732066;6.898012223
7.255409922;7.082371887;6.862344416;6.747895782;6.719086861;6.567731939
7.301620021;7.19221066;7.078373978;7.017542783;6.952035842;6.755498255
7.367598722;7.300460221;7.200196715;7.118469484;7.122068184;6.87284853
7.246799012;7.187364802;7.063057639;7.03627042;6.979187485;6.766481442
7.093464346;6.972130408;6.842724128;6.749361357;6.711077188;6.561231079
6.937452757;6.788000544;6.649045249;6.568908826;6.557863562;6.481109032
7.023665026;6.949603646;6.875306402;6.838227316;6.845989956;6.708815993
7.062681605;7.044884614;6.981823283;6.971560398;6.971392557;6.789289743
6.991957268;6.964164939;6.897096469;6.880382626;6.843632445;6.676847403
6.897804344;6.825317826;6.754062894;6.701356901;6.681610279;6.561495066
6.764323579;6.66110416;6.56284752;6.514095651;6.520847216;6.470093137
6.645763593;6.538553108;6.435114659;6.402593247;6.420579667;6.4195673
6.744960216;6.708000547;6.682099914;6.682606133;6.692811473;6.627173439
6.592044653;6.526602129;6.43998168;6.419576247;6.453228157;6.448300044
6.457142369;6.375940572;6.304301216;6.302390315;6.296339563;6.347415749
6.574275381;6.538395272;6.539736353;6.524061114;6.563120825;6.554972231
6.571565172;6.574469544;6.551533776;6.582960417;6.6149623;6.599078185
6.501541181;6.493941237;6.467776927;6.489997752;6.488529485;6.491754348
6.407697974;6.355695371;6.325067308;6.307651666;6.325446748;6.377188574
6.07612852;5.92590234;5.798709366;5.757940543;5.821259313;6.04061045
6.013407596;5.892130954;5.827457607;5.833900135;5.89526046;6.137455121
6.050153136;5.986994052;5.95678576;5.976784719;6.087726456;6.293018266
5.955043545;5.921586366;5.884498274;5.955430054;6.024565209;6.249782977
5.895885883;5.856363659;5.849364898;5.890179539;5.964247439;6.193969728
5.782627217;5.717884814;5.699468169;5.737204422;5.837250616;6.116175966
5.564741692;5.461981079;5.404664171;5.447489499;5.56423048;5.936249512
5.444904652;5.346956392;5.320145651;5.382206295;5.5042945;5.916307965
5.552151569;5.53492544;5.593931592;5.692055817;5.828494081;6.172171247
5.391706258;5.366739026;5.368347542;5.469192886;5.614115526;6.010099361
5.377246043;5.381338;5.450648637;5.571913927;5.671632688;6.052495584
5.811233545;5.962682599;6.189119416;6.328189089;6.45287606;6.623175336
5.668829775;5.778516547;5.859607527;5.997093752;6.116151485;6.343399963
5.64372192;5.726029768;5.851270543;5.986825422;6.014952285;6.245143871
5.769984399;5.838516315;5.98511306;6.037637256;6.161209591;6.347164698
5.701555795;5.76562955;5.839702514;5.962516017;6.057980297;6.270804987
