h_1;h_3;h_6;h_9;h_12;h_24
5.638472645;5.674079949;5.741378947;5.833429902;5.908585545;6.139551643
5.522839601;5.506922623;5.552447128;5.614128714;5.708919964;5.996989235
5.584715288;5.604601963;5.688332456;5.780396761;5.883177573;6.139323498
5.606413274;5.65610498;5.732156671;5.834537177;5.947485893;6.17609033
5.617250913;5.680884592;5.770490444;5.885249182;5.960209694;6.168067725
5.54355415;5.565047242;5.632413013;5.698580892;5.796401421;6.031459003
5.501907257;5.514277128;5.577868417;5.662820848;5.756424174;6.010564393
5.605105608;5.659881245;5.760469867;5.859887325;5.966319853;6.163301486
5.621452818;5.694356826;5.778839951;5.892800157;5.98367966;6.15932673
5.341941318;5.310730658;5.308589736;5.372190569;5.458619405;5.758641692
5.480270764;5.493001118;5.604232864;5.695823217;5.775088014;6.013030429
5.127217136;5.032464111;4.977771973;5.006457263;5.183524776;5.577719263
5.11077276;5.078105814;5.129470323;5.270412716;5.337736644;5.729278402
5.223906661;5.234743436;5.322323015;5.383141783;5.566321162;5.874554472
5.355680912;5.475332953;5.610111784;5.802389647;5.889568885;6.130880382
5.486635446;5.621568363;5.777096304;5.893175241;5.989571735;6.138871345
5.356891313;5.42501183;5.520387484;5.627889772;5.687117792;5.903511589
5.245552629;5.243856683;5.311422227;5.365908874;5.458397057;5.731048792
5.188905273;5.17666061;5.230759895;5.308434981;5.422044916;5.730231114
5.09232662;5.075344744;5.104299727;5.189009322;5.314422364;5.65325497
4.889841928;4.832463461;4.83115753;4.908080378;5.023943387;5.438561664
4.969377812;4.963545876;5.047381661;5.147137867;5.270263388;5.63632962
4.900549213;4.902820877;4.947769779;5.048647924;5.204174366;5.587907163
4.786013482;4.785776858;4.833721421;4.960560388;5.067317834;5.481240687
4.911243394;4.953640406;5.08233439;5.190620661;5.322339678;5.660988558
4.719507377;4.714260712;4.752587493;4.851649361;5.005991178;5.42400574
4.587379765;4.562224825;4.613576419;4.729138024;4.84533415;5.302443806
4.696687383;4.720219013;4.839059346;4.947671505;5.110455912;5.506795152
4.599036763;4.626885283;4.690307811;4.831116584;4.992051506;5.421299311
4.607457408;4.654787608;4.76818596;4.920241547;5.034842102;5.432098849
4.732814777;4.815470912;4.976757507;5.110702534;5.252723894;5.581909337
4.34273281;4.296522493;4.298180801;4.394384411;4.546452087;5.042219119
4.363595742;4.350852617;4.461051505;4.592038672;4.703960823;5.178819995
4.503940216;4.558148382;4.696875462;4.814187881;5.019604115;5.425609154
4.492034805;4.589383774;4.711678543;4.915494751;5.045063195;5.443584709
4.567860876;4.674574539;4.843839572;4.98628344;5.098332176;5.419541065
4.647956134;4.759204868;4.937826345;5.076574098;5.197852203;5.493940203
4.553412188;4.61908268;4.729758132;4.853507373;4.983291861;5.318953296
4.429163754;4.446429856;4.534477556;4.650250969;4.757366852;5.142573635
4.413063756;4.426977856;4.525848936;4.626854681;4.765396258;5.155295245
4.297844351;4.295713974;4.356516528;4.472749691;4.623238607;5.060215124
4.389229055;4.445204459;4.574621462;4.725109353;4.847900985;5.233930519
4.240488987;4.249743023;4.316263168;4.416802995;4.571270474;4.998982642
4.285040258;4.331449754;4.461241617;4.613724548;4.7195465;5.130899222
4.241057487;4.272393749;4.369461796;4.464070101;4.630736036;5.048161554
4.285852621;4.36056312;4.494373619;4.665974266;4.773530265;5.181451297
4.354291141;4.441581209;4.586543598;4.707301438;4.847000705;5.203434008
4.230614217;4.276263516;4.370393132;4.50356392;4.615556876;5.03427581
4.228871466;4.266126741;4.384368677;4.491600621;4.611950423;5.030104587
4.116753604;4.12153743;4.19512592;4.295536388;4.443713169;4.924313727
4.091092193;4.110990961;4.202058806;4.335119379;4.463541874;4.964268118
4.017204099;4.025132573;4.100808205;4.209543387;4.358777133;4.889484024
3.991452433;4.015719889;4.111038752;4.248965291;4.379365594;4.934418296
4.111889677;4.188160593;4.337820114;4.480011636;4.626778331;5.12972811
4.03515095;4.092309742;4.198298917;4.335285819;4.477654229;5.016849396
3.831792446;3.818812308;3.881207573;3.984388407;4.111000996;4.740455831
3.987000706;4.038399002;4.196551689;4.327599237;4.474922869;5.054269887
4.018993967;4.103597488;4.227500296;4.3754023;4.563433688;5.134130966
4.025099232;4.12394623;4.262157583;4.448662415;4.561129195;5.126634739
4.164608611;4.280827651;4.471206107;4.609752609;4.738679408;5.242632306
3.955151132;3.982762411;4.064425113;4.181506773;4.335788173;4.946964177
3.90483763;3.920147226;4.030009663;4.164583491;4.293722487;4.936041712
3.914205783;3.94158288;4.055765906;4.169881401;4.363652304;4.997740237
3.891692428;3.943384022;4.054992631;4.22798455;4.399872291;5.043915678
4.219483629;4.393279279;4.633323077;4.838164185;4.995254861;5.477909734
4.288120313;4.460245563;4.657025936;4.840881608;5.009828451;5.450865598
4.372738257;4.540878801;4.76059762;4.960667983;5.05890973;5.46810544
4.496429081;4.651689559;4.873973024;5.019841088;5.156439679;5.517203054
4.363580131;4.444164122;4.576041002;4.725043456;4.854795103;5.297796656
4.530555629;4.656209495;4.859337495;5.02627748;5.134770461;5.512074446
4.660110732;4.807607581;5.003877867;5.155090607;5.302383237;5.630060151
4.946571863;5.179218538;5.443362287;5.662992424;5.738764603;5.953422576
5.129066882;5.364878903;5.619569027;5.772714077;5.853121524;5.982489197
5.395393127;5.66479884;5.948699017;6.130244502;6.147773341;6.194170125
5.640266918;5.907755487;6.175532616;6.299390012;6.335236677;6.293771467
5.814330517;6.063596698;6.299416309;6.433429319;6.421276068;6.338626471
5.836641347;6.001460332;6.165197612;6.218571168;6.217353974;6.138947849
5.77484631;5.856701389;5.949908033;5.9813519;5.972152858;5.958665739
5.740986521;5.77351142;5.822660997;5.829819606;5.852764382;5.876713295
5.898491458;5.979349695;6.063184079;6.120087209;6.135167366;6.112649739
5.848135751;5.892210872;5.914066589;5.938572151;5.965623567;5.957154642
5.816072536;5.836591472;5.863641265;5.893926115;5.875271937;5.885172017
5.823255178;5.825243007;5.845422314;5.833324408;5.865926912;5.873822403
5.689208108;5.652356076;5.617477697;5.629762326;5.658725779;5.738353048
5.683989804;5.658956276;5.653114332;5.666437628;5.690681599;5.761310548
5.688347276;5.676710267;5.674947244;5.691516413;5.736056343;5.800573818
5.880256881;5.951688661;6.021675226;6.090445083;6.109116489;6.088769076
6.041209165;6.15296855;6.243083779;6.300309879;6.31592583;6.208554222
5.861704955;5.880880862;5.883862736;5.898110136;5.885605539;5.853006041
5.910971713;5.924761779;5.970369696;5.973692196;5.955273732;5.913189787
5.90751794;5.909615689;5.915280421;5.907039893;5.949233599;5.926817771
5.979222081;6.024120652;6.055737396;6.110732419;6.09942012;6.052363455
6.136004677;6.219980186;6.291545864;6.311682785;6.308095298;6.16933902
6.330179414;6.457462483;6.558313641;6.605153808;6.573077388;6.360104107
6.276121372;6.340148106;6.369147424;6.361311306;6.333595387;6.139651606
6.130957454;6.113839729;6.092530091;6.063231027;6.011955588;5.899385929
6.097570804;6.052978763;6.020756542;5.968312439;5.965270106;5.883224073
5.968269973;5.895846301;5.814227931;5.786245668;5.798635259;5.789039372
5.768467025;5.653348686;5.542948852;5.506575558;5.511394859;5.572979046
5.648471439;5.52347195;5.428894214;5.387174064;5.411384337;5.515402205
5.633466348;5.550019265;5.483926201;5.474535105;5.524387809;5.631016247
5.556089148;5.490004769;5.424093768;5.435228489;5.480714054;5.598246158
5.761565968;5.797822724;5.844242182;5.898318905;5.910785706;5.919176754
5.636038128;5.622924325;5.597679485;5.596057707;5.646203148;5.685129794
5.579912735;5.560203083;5.558773761;5.593419668;5.579422208;5.64836227
5.608767054;5.593270016;5.603485732;5.588512811;5.64319484;5.68786162
5.474884876;5.434246251;5.395527976;5.425653363;5.460014209;5.574883976
5.390378567;5.336897842;5.309416674;5.314938218;5.346944886;5.475860804
5.371799455;5.332116725;5.322596212;5.337229114;5.386379193;5.523668944
5.471773326;5.492536182;5.524102925;5.576417358;5.62711236;5.71719631
5.414465818;5.423614548;5.431404498;5.470874971;5.514556286;5.60877228
5.405057374;5.412878893;5.443596367;5.481353297;5.498328159;5.588905307
5.313754152;5.284735674;5.281383521;5.282712021;5.340943671;5.466516222
5.36858704;5.379235287;5.410713969;5.467391708;5.502835651;5.616774694
5.220792815;5.183502444;5.157366584;5.166061836;5.235221616;5.392596715
5.168843999;5.136015124;5.137832559;5.185944215;5.211294882;5.393957068
5.10041387;5.051955778;5.04075733;5.043419568;5.129067768;5.3263042
4.960328318;4.899077444;4.866589182;4.9139321;4.975226937;5.236493112
4.977134775;4.948343292;4.964102265;5.003117859;5.077393023;5.310989042
4.883864211;4.848577244;4.841800492;4.887761835;4.974871884;5.241008875
4.973786614;4.998368366;5.056280649;5.139197519;5.202408686;5.421552442
5.019109139;5.063133742;5.126951179;5.192288614;5.277339206;5.461970787
5.013490537;5.058721532;5.123370585;5.208582223;5.256998874;5.444013384
4.935613766;4.940711516;4.982692382;5.022080473;5.086005146;5.295701728
4.701166179;4.63031195;4.605855229;4.630494569;4.702763914;5.023156084
4.756385461;4.734167565;4.771801256;4.830931205;4.913747724;5.217621454
4.690914973;4.671235611;4.679944882;4.737016347;4.856740031;5.178099088
4.678614613;4.68719624;4.730314094;4.828858428;4.894679945;5.212913564
4.622679914;4.61333406;4.654072592;4.698590234;4.799564632;5.121691057
4.580650348;4.578973374;4.620527715;4.705154719;4.790102729;5.143928855
4.699420744;4.751722663;4.844737544;4.937567886;5.03692921;5.33450692
4.721465278;4.785364848;4.871113427;4.975810417;5.065405859;5.352225661
4.541044345;4.535286683;4.568008868;4.629143981;4.706543458;5.063320641
4.399158944;4.34702235;4.369050992;4.411499514;4.501446842;4.931996254
4.464681575;4.461536829;4.521820074;4.600900859;4.726383345;5.147298202
4.39228826;4.395836969;4.425739673;4.525354861;4.653746483;5.102803434
4.592399541;4.68653815;4.825240703;4.969918805;5.046692567;5.406149995
4.565399362;4.62880029;4.72589805;4.80599398;4.927569761;5.29456105
4.417497825;4.430789484;4.489063331;4.59098491;4.661855481;5.120632042
4.514919695;4.555635749;4.668284144;4.744684196;4.852303862;5.284597524
4.410023146;4.422151191;4.469966854;4.562388403;4.691264358;5.202138237
4.591735324;4.686809103;4.826189364;4.972532401;5.052695894;5.497706571
4.757138254;4.888564536;5.050417531;5.164524005;5.280566738;5.665989396
4.657303104;4.735265637;4.833587669;4.950995288;5.025676936;5.471001769
4.744033433;4.828470269;4.969838183;5.061250593;5.13105224;5.56057842
4.737552275;4.79726511;4.894959727;4.974668089;5.091246725;5.558596071
4.716076194;4.769228035;4.851915804;4.964793518;5.052415444;5.546808441
5.02193461;5.172850899;5.361332371;5.493351208;5.57933489;5.961205467
5.074972299;5.20850666;5.346382035;5.461786387;5.567488138;5.931975985
4.966613127;5.033932383;5.126920271;5.228614814;5.275980605;5.692266814
5.135600494;5.232859071;5.383811139;5.461021507;5.539210765;5.908995467
5.038975114;5.077352127;5.135386468;5.206819967;5.330596491;5.742217176
5.391305158;5.560458496;5.754506073;5.922195313;5.97500297;6.257438628
5.698616733;5.924803453;6.148945169;6.276609611;6.393465574;6.543203
5.890500691;6.128911564;6.355340115;6.541322829;6.56813418;6.637384709
6.232898656;6.508887752;6.796907039;6.934762401;6.970217193;6.905905954
6.227384999;6.405387509;6.581441605;6.675124982;6.69907532;6.638971203
6.566222958;6.806853723;7.06148353;7.202989379;7.180303591;6.999519178
6.916168995;7.195077062;7.46753949;7.581708961;7.608236744;7.282470539
7.410290978;7.792217497;8.147393376;8.347157252;8.296533178;7.779329561
8.005734444;8.48749403;8.936188223;9.10202177;9.046985427;8.29227996
8.527978715;9.04024173;9.488201712;9.663827979;9.536913344;8.583126247
8.961350114;9.451421663;9.850050102;9.956121627;9.783914063;8.671442958
9.233959104;9.631735685;9.920727639;9.946470801;9.730051754;8.528813076
9.590531763;9.940323151;10.18850792;10.1627198;9.926598794;8.615493802
9.673720082;9.883574743;9.974199877;9.85000491;9.595582197;8.27337661
9.599244702;9.666273126;9.610986589;9.414858934;9.094639298;7.827832387
9.633967258;9.639150215;9.520431319;9.269832159;8.963613335;7.710486095
9.788822212;9.801174459;9.66535498;9.444140898;9.15328621;7.847586768
10.01558848;10.07159188;9.966895934;9.76865664;9.46855195;8.089915786
9.949324917;9.921852176;9.733601824;9.461558958;9.1338447;7.794316657
9.894629944;9.80573379;9.57499233;9.267876352;8.924069174;7.616470902
9.76145334;9.592946033;9.272325669;8.912856214;8.611714295;7.361742453
9.70651214;9.531585089;9.19015778;8.874798026;8.558445919;7.328100709
9.831052006;9.71681816;9.447158907;9.162876471;8.863413044;7.600786862
9.85722261;9.746410313;9.480768113;9.211750896;8.90483102;7.633684414
9.567579598;9.346597722;8.97318618;8.633176351;8.304922482;7.14382078
9.295891338;9.000980797;8.58437167;8.197037124;7.871770929;6.82603382
9.250326252;8.982002948;8.599136481;8.241778925;7.983114574;6.955409895
9.367752757;9.197700506;8.900181;8.642440894;8.399737851;7.318531195
9.445813661;9.352795965;9.107266692;8.877728537;8.625702801;7.514892953
9.374202185;9.261428494;9.007131504;8.748728916;8.476786246;7.394892278
9.753523217;9.775025524;9.677500133;9.50227512;9.242823504;8.038372652
9.335205131;9.149443083;8.810619817;8.483474476;8.254013722;7.1800657
8.999999939;8.72572908;8.341017048;8.035497593;7.683296053;6.74882067
8.889280964;8.598755072;8.222302192;7.835101603;7.627477499;6.759808419
8.815676568;8.561390997;8.180734886;7.939323815;7.717962549;6.846962526
9.012624405;8.907843071;8.691158871;8.493545684;8.277195985;7.340061001
8.96994421;8.867626899;8.651037623;8.432428758;8.20970974;7.288409871
9.059300685;9.001473631;8.840343108;8.648148106;8.403352614;7.459447796
8.98581073;8.884669972;8.674823339;8.429240688;8.220379402;7.30377614
8.943386659;8.834792295;8.611652063;8.400230485;8.157374643;7.256598589
8.963867071;8.862839563;8.658367889;8.424820352;8.216527893;7.311433296
8.749659521;8.572503349;8.281765673;8.030639746;7.806774019;6.975607891
8.521337522;8.290229394;7.964584484;7.687413896;7.453059106;6.714000147
8.387201723;8.145593604;7.819160063;7.54434944;7.346191119;6.65596448
8.178862391;7.913792864;7.557683101;7.294288424;7.117847048;6.487017323
8.176214365;7.98348785;7.710435723;7.503627805;7.328980611;6.689729945
8.121630053;7.953718618;7.70688518;7.495628577;7.35624925;6.727687305
8.119317693;7.996138059;7.791521705;7.632508665;7.468401224;6.836627523
8.157269802;8.071835753;7.911393118;7.750384685;7.607616979;6.959288591
8.159277569;8.086854213;7.932624692;7.794711372;7.641230123;6.984545481
8.175555098;8.114829397;7.981046984;7.838171603;7.685884091;7.022394278
8.075992237;7.977250853;7.808739428;7.642457717;7.487505762;6.85795929
7.754270338;7.549087642;7.281166081;7.057799025;6.893942914;6.380531821
7.69280682;7.510182205;7.276178766;7.083739335;6.934898726;6.443539944
7.610917466;7.435549468;7.19527632;7.008016872;6.915253259;6.434541039
7.809956406;7.763048478;7.647796218;7.574817025;7.452375328;6.89096996
8.008644771;8.037702847;8.006251613;7.928072638;7.832739412;7.201542028
7.721886783;7.634359984;7.474925249;7.34265242;7.188739064;6.660235301
7.462864547;7.298150511;7.086672945;6.888099383;6.725400541;6.305727495
7.503072692;7.364384264;7.185896071;7.014443535;6.92158589;6.478166684
7.422692689;7.282491847;7.079277296;6.949442915;6.864874072;6.426419868
7.447602798;7.370784768;7.240175554;7.15055754;7.024789341;6.580313884
7.283845382;7.162623857;6.994855316;6.835104501;6.741073572;6.361963717
7.12607942;6.973725439;6.774541814;6.634567913;6.521701375;6.190743827
7.131249377;7.012874512;6.858467087;6.726329056;6.653985956;6.323304289
7.139147709;7.050986362;6.920438321;6.834839073;6.760474874;6.41607893
6.872917097;6.72164183;6.523135459;6.388945335;6.305438244;6.052671344
6.625258643;6.429258948;6.204436788;6.045825464;5.954770195;5.794297019
6.498152727;6.297483481;6.077454363;5.919043624;5.882015606;5.76551638
6.59064996;6.476657585;6.344860007;6.289731054;6.258732281;6.098940525
6.667727835;6.628162016;6.565217673;6.539837551;6.516104111;6.329171887
6.195526237;6.022720487;5.806610801;5.687802633;5.635301099;5.610096454
6.208857596;6.085443785;5.972201224;5.884749065;5.83441026;5.823834491
6.036638647;5.85946637;5.682331109;5.555845502;5.603525557;5.63844029
6.091242072;6.009870764;5.916354238;5.943149295;5.909025529;5.912054667
6.107062154;6.069316604;6.032969351;5.995081194;6.030419153;6.047383682
5.865375473;5.762861189;5.646439421;5.620366051;5.603084067;5.689519092
5.661215404;5.523614359;5.390040311;5.307908751;5.322434939;5.488280777
5.71294446;5.621045163;5.553661786;5.53428254;5.570713015;5.713307813
5.561895655;5.452744267;5.347827973;5.328170485;5.381100945;5.571203007
5.647824953;5.628591998;5.62921145;5.679962193;5.697484472;5.86098292
5.51472018;5.458877096;5.417207946;5.397052146;5.469906354;5.688535714
5.349853679;5.26585668;5.193719457;5.209567924;5.230483664;5.492623535
5.372346969;5.326025431;5.311247264;5.309606759;5.387375835;5.651074558
5.560307197;5.591811678;5.660829119;5.750466496;5.825422486;6.015420388
5.338693557;5.311729736;5.283807801;5.320840524;5.386910044;5.656134426
5.181834021;5.132006782;5.100486061;5.12571464;5.152533761;5.474635556
5.076857082;4.988889625;4.939099895;4.908693615;5.013726892;5.370561499
4.92558654;4.812324897;4.729281902;4.758849588;4.835540657;5.221125719
4.960750507;4.920239912;4.920693029;4.974280506;5.070232656;5.450827562
5.082486819;5.109113301;5.185796023;5.281031462;5.391123718;5.732912442
5.02099555;5.040671902;5.091995006;5.184578208;5.283662852;5.644469542
4.812384599;4.779808727;4.772009206;4.826905662;4.903459554;5.331376134
4.875165224;4.874512131;4.928992118;4.991067117;5.100415217;5.513195646
4.988112379;5.023270235;5.114476975;5.217916166;5.352576587;5.720387112
5.12036383;5.221425742;5.365634968;5.527706314;5.622390695;5.954057786
4.872519506;4.892159147;4.923867859;4.994910652;5.084310024;5.506231087
4.887913311;4.909004642;4.97999738;5.060100271;5.137793346;5.559327321
4.807601495;4.781259921;4.801341242;4.835318005;4.976721919;5.421736797
4.860090508;4.880341514;4.948043726;5.077022615;5.157796258;5.577940265
5.039625578;5.13748188;5.28763542;5.402483467;5.530449681;5.917539197
4.937724104;4.988395629;5.065986568;5.181036563;5.26998344;5.683126545
4.730494706;4.719510828;4.72654239;4.779967421;4.860304992;5.350295692
4.677464259;4.644008687;4.657287082;4.696913186;4.803176346;5.311933078
4.66921724;4.637706288;4.660302562;4.726101349;4.853673928;5.359304618
4.584904069;4.561229044;4.576539217;4.668246781;4.774416969;5.30751598
4.399666475;4.348187575;4.329340108;4.382319287;4.491627648;5.09694694
4.36340986;4.318770804;4.333380594;4.394211135;4.524564537;5.14278107
4.372230073;4.349011184;4.390449942;4.476844806;4.635663352;5.246630281
4.287611914;4.273861278;4.307686249;4.420883438;4.556406393;5.194841643
4.302323512;4.325518295;4.405203932;4.521666664;4.663476532;5.311681514
4.406941932;4.466822767;4.597016597;4.734192394;4.898893116;5.513451038
4.32649626;4.363893626;4.450893459;4.58725039;4.737863474;5.373581126
4.21893297;4.23660283;4.304687121;4.423527322;4.554094467;5.232173802
4.204277687;4.216458217;4.297770203;4.398399294;4.560681234;5.246404328
4.090218423;4.069263825;4.110066746;4.216526671;4.380940903;5.092006344
0.066161606;0.18783195;0.329359041;0.434890245;0.512645342;0.875225836
