"h_1","h_3","h_6","h_9","h_12","h_24"
6,6,6,6,6,6
5.9,5.9,5.9,5.9,5.9,5.9
5.6,5.6,5.6,5.6,5.6,5.6
5.2,5.2,5.2,5.2,5.2,5.2
5.1,5.1,5.1,5.1,5.1,5.1
5,5,5,5,5,5
5.1,5.1,5.1,5.1,5.1,5.1
5.2,5.2,5.2,5.2,5.2,5.2
5.5,5.5,5.5,5.5,5.5,5.5
5.7,5.7,5.7,5.7,5.7,5.7
5.8,5.8,5.8,5.8,5.8,5.8
5.3,5.3,5.3,5.3,5.3,5.3
5.2,5.2,5.2,5.2,5.2,5.2
4.8,4.8,4.8,4.8,4.8,4.8
5.4,5.4,5.4,5.4,5.4,5.4
5.2,5.2,5.2,5.2,5.2,5.2
5.1,5.1,5.1,5.1,5.1,5.1
5.4,5.4,5.4,5.4,5.4,5.4
5.5,5.5,5.5,5.5,5.5,5.5
5.6,5.6,5.6,5.6,5.6,5.6
5.5,5.5,5.5,5.5,5.5,5.5
6.1,6.1,6.1,6.1,6.1,6.1
6.1,6.1,6.1,6.1,6.1,6.1
6.6,6.6,6.6,6.6,6.6,6.6
6.6,6.6,6.6,6.6,6.6,6.6
6.9,6.9,6.9,6.9,6.9,6.9
6.9,6.9,6.9,6.9,6.9,6.9
7,7,7,7,7,7
7.1,7.1,7.1,7.1,7.1,7.1
6.9,6.9,6.9,6.9,6.9,6.9
7,7,7,7,7,7
6.6,6.6,6.6,6.6,6.6,6.6
6.7,6.7,6.7,6.7,6.7,6.7
6.5,6.5,6.5,6.5,6.5,6.5
6.1,6.1,6.1,6.1,6.1,6.1
6,6,6,6,6,6
5.8,5.8,5.8,5.8,5.8,5.8
5.5,5.5,5.5,5.5,5.5,5.5
5.6,5.6,5.6,5.6,5.6,5.6
5.6,5.6,5.6,5.6,5.6,5.6
5.5,5.5,5.5,5.5,5.5,5.5
5.5,5.5,5.5,5.5,5.5,5.5
5.4,5.4,5.4,5.4,5.4,5.4
5.7,5.7,5.7,5.7,5.7,5.7
5.6,5.6,5.6,5.6,5.6,5.6
5.4,5.4,5.4,5.4,5.4,5.4
5.7,5.7,5.7,5.7,5.7,5.7
5.5,5.5,5.5,5.5,5.5,5.5
5.7,5.7,5.7,5.7,5.7,5.7
5.9,5.9,5.9,5.9,5.9,5.9
5.7,5.7,5.7,5.7,5.7,5.7
5.7,5.7,5.7,5.7,5.7,5.7
5.9,5.9,5.9,5.9,5.9,5.9
5.6,5.6,5.6,5.6,5.6,5.6
5.6,5.6,5.6,5.6,5.6,5.6
5.4,5.4,5.4,5.4,5.4,5.4
5.5,5.5,5.5,5.5,5.5,5.5
5.5,5.5,5.5,5.5,5.5,5.5
5.7,5.7,5.7,5.7,5.7,5.7
5.5,5.5,5.5,5.5,5.5,5.5
5.6,5.6,5.6,5.6,5.6,5.6
5.4,5.4,5.4,5.4,5.4,5.4
5.4,5.4,5.4,5.4,5.4,5.4
5.3,5.3,5.3,5.3,5.3,5.3
5.1,5.1,5.1,5.1,5.1,5.1
5.2,5.2,5.2,5.2,5.2,5.2
4.9,4.9,4.9,4.9,4.9,4.9
5,5,5,5,5,5
5.1,5.1,5.1,5.1,5.1,5.1
5.1,5.1,5.1,5.1,5.1,5.1
4.8,4.8,4.8,4.8,4.8,4.8
5,5,5,5,5,5
4.9,4.9,4.9,4.9,4.9,4.9
5.1,5.1,5.1,5.1,5.1,5.1
4.7,4.7,4.7,4.7,4.7,4.7
4.8,4.8,4.8,4.8,4.8,4.8
4.6,4.6,4.6,4.6,4.6,4.6
4.6,4.6,4.6,4.6,4.6,4.6
4.4,4.4,4.4,4.4,4.4,4.4
4.4,4.4,4.4,4.4,4.4,4.4
4.3,4.3,4.3,4.3,4.3,4.3
4.2,4.2,4.2,4.2,4.2,4.2
4.1,4.1,4.1,4.1,4.1,4.1
4,4,4,4,4,4
4,4,4,4,4,4
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.9,3.9,3.9,3.9,3.9,3.9
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.7,3.7,3.7,3.7,3.7,3.7
3.7,3.7,3.7,3.7,3.7,3.7
3.6,3.6,3.6,3.6,3.6,3.6
3.8,3.8,3.8,3.8,3.8,3.8
3.9,3.9,3.9,3.9,3.9,3.9
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.9,3.9,3.9,3.9,3.9,3.9
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
3.8,3.8,3.8,3.8,3.8,3.8
4,4,4,4,4,4
3.9,3.9,3.9,3.9,3.9,3.9
3.8,3.8,3.8,3.8,3.8,3.8
3.7,3.7,3.7,3.7,3.7,3.7
3.8,3.8,3.8,3.8,3.8,3.8
3.7,3.7,3.7,3.7,3.7,3.7
3.5,3.5,3.5,3.5,3.5,3.5
3.5,3.5,3.5,3.5,3.5,3.5
3.7,3.7,3.7,3.7,3.7,3.7
3.7,3.7,3.7,3.7,3.7,3.7
3.5,3.5,3.5,3.5,3.5,3.5
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
3.5,3.5,3.5,3.5,3.5,3.5
3.5,3.5,3.5,3.5,3.5,3.5
3.5,3.5,3.5,3.5,3.5,3.5
3.7,3.7,3.7,3.7,3.7,3.7
3.7,3.7,3.7,3.7,3.7,3.7
3.5,3.5,3.5,3.5,3.5,3.5
3.5,3.5,3.5,3.5,3.5,3.5
3.9,3.9,3.9,3.9,3.9,3.9
4.2,4.2,4.2,4.2,4.2,4.2
4.4,4.4,4.4,4.4,4.4,4.4
4.6,4.6,4.6,4.6,4.6,4.6
4.8,4.8,4.8,4.8,4.8,4.8
4.9,4.9,4.9,4.9,4.9,4.9
5,5,5,5,5,5
5.1,5.1,5.1,5.1,5.1,5.1
5.4,5.4,5.4,5.4,5.4,5.4
5.5,5.5,5.5,5.5,5.5,5.5
5.9,5.9,5.9,5.9,5.9,5.9
6.1,6.1,6.1,6.1,6.1,6.1
5.9,5.9,5.9,5.9,5.9,5.9
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
5.9,5.9,5.9,5.9,5.9,5.9
5.9,5.9,5.9,5.9,5.9,5.9
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
6.1,6.1,6.1,6.1,6.1,6.1
6,6,6,6,6,6
5.8,5.8,5.8,5.8,5.8,5.8
6,6,6,6,6,6
6,6,6,6,6,6
5.8,5.8,5.8,5.8,5.8,5.8
5.7,5.7,5.7,5.7,5.7,5.7
5.8,5.8,5.8,5.8,5.8,5.8
5.7,5.7,5.7,5.7,5.7,5.7
5.7,5.7,5.7,5.7,5.7,5.7
5.7,5.7,5.7,5.7,5.7,5.7
5.6,5.6,5.6,5.6,5.6,5.6
5.6,5.6,5.6,5.6,5.6,5.6
5.5,5.5,5.5,5.5,5.5,5.5
5.6,5.6,5.6,5.6,5.6,5.6
5.3,5.3,5.3,5.3,5.3,5.3
5.2,5.2,5.2,5.2,5.2,5.2
4.9,4.9,4.9,4.9,4.9,4.9
5,5,5,5,5,5
4.9,4.9,4.9,4.9,4.9,4.9
5,5,5,5,5,5
4.9,4.9,4.9,4.9,4.9,4.9
4.9,4.9,4.9,4.9,4.9,4.9
4.8,4.8,4.8,4.8,4.8,4.8
4.8,4.8,4.8,4.8,4.8,4.8
4.8,4.8,4.8,4.8,4.8,4.8
4.6,4.6,4.6,4.6,4.6,4.6
4.8,4.8,4.8,4.8,4.8,4.8
4.9,4.9,4.9,4.9,4.9,4.9
5.1,5.1,5.1,5.1,5.1,5.1
5.2,5.2,5.2,5.2,5.2,5.2
5.1,5.1,5.1,5.1,5.1,5.1
5.1,5.1,5.1,5.1,5.1,5.1
5.1,5.1,5.1,5.1,5.1,5.1
5.4,5.4,5.4,5.4,5.4,5.4
5.5,5.5,5.5,5.5,5.5,5.5
5.5,5.5,5.5,5.5,5.5,5.5
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
6.6,6.6,6.6,6.6,6.6,6.6
7.2,7.2,7.2,7.2,7.2,7.2
8.1,8.1,8.1,8.1,8.1,8.1
8.1,8.1,8.1,8.1,8.1,8.1
8.6,8.6,8.6,8.6,8.6,8.6
8.8,8.8,8.8,8.8,8.8,8.8
9,9,9,9,9,9
8.8,8.8,8.8,8.8,8.8,8.8
8.6,8.6,8.6,8.6,8.6,8.6
8.4,8.4,8.4,8.4,8.4,8.4
8.4,8.4,8.4,8.4,8.4,8.4
8.4,8.4,8.4,8.4,8.4,8.4
8.3,8.3,8.3,8.3,8.3,8.3
8.2,8.2,8.2,8.2,8.2,8.2
7.9,7.9,7.9,7.9,7.9,7.9
7.7,7.7,7.7,7.7,7.7,7.7
7.6,7.6,7.6,7.6,7.6,7.6
7.7,7.7,7.7,7.7,7.7,7.7
7.4,7.4,7.4,7.4,7.4,7.4
7.6,7.6,7.6,7.6,7.6,7.6
7.8,7.8,7.8,7.8,7.8,7.8
7.8,7.8,7.8,7.8,7.8,7.8
7.6,7.6,7.6,7.6,7.6,7.6
7.7,7.7,7.7,7.7,7.7,7.7
7.8,7.8,7.8,7.8,7.8,7.8
7.8,7.8,7.8,7.8,7.8,7.8
7.5,7.5,7.5,7.5,7.5,7.5
7.6,7.6,7.6,7.6,7.6,7.6
7.4,7.4,7.4,7.4,7.4,7.4
7.2,7.2,7.2,7.2,7.2,7.2
7,7,7,7,7,7
7.2,7.2,7.2,7.2,7.2,7.2
6.9,6.9,6.9,6.9,6.9,6.9
7,7,7,7,7,7
6.8,6.8,6.8,6.8,6.8,6.8
6.8,6.8,6.8,6.8,6.8,6.8
6.8,6.8,6.8,6.8,6.8,6.8
6.4,6.4,6.4,6.4,6.4,6.4
6.4,6.4,6.4,6.4,6.4,6.4
6.3,6.3,6.3,6.3,6.3,6.3
6.3,6.3,6.3,6.3,6.3,6.3
6.1,6.1,6.1,6.1,6.1,6.1
6,6,6,6,6,6
5.9,5.9,5.9,5.9,5.9,5.9
6.2,6.2,6.2,6.2,6.2,6.2
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
5.8,5.8,5.8,5.8,5.8,5.8
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
5.9,5.9,5.9,5.9,5.9,5.9
5.9,5.9,5.9,5.9,5.9,5.9
5.8,5.8,5.8,5.8,5.8,5.8
5.8,5.8,5.8,5.8,5.8,5.8
5.6,5.6,5.6,5.6,5.6,5.6
5.7,5.7,5.7,5.7,5.7,5.7
5.7,5.7,5.7,5.7,5.7,5.7
6,6,6,6,6,6
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6
6.28837898746036,6.32544081419676,6.35286428675387,6.36972443186539,6.2535836339568,5.96407013875597
6.3340619350251,6.38307040372708,6.35733161852919,6.38045231443697,6.22810003945904,6.00701115530628
6.29486620212013,6.33649103032146,6.33498680224108,6.26753951012806,6.09329178331308,5.88949566542683
6.91135992872273,7.15838108608423,7.36199966519291,7.26981012946794,7.05768280687638,6.71755966619473
7.66897017249332,8.12893553473235,8.24250143402602,8.23778549509035,7.90413466547916,7.61433709031524
7.80028259698314,8.16432573302151,8.08158284510484,7.98425549950219,7.60559895353801,7.23827088805704
8.00039914292599,8.15654355915688,8.11548829770247,7.84652976208337,7.49595837447859,7.12675637120408
7.85242897480249,7.76709168271906,7.57001871550627,7.22674539885338,7.05558475353801,7.09543958329362
7.4507247773293,7.23720456531659,6.91071068417467,6.69247746682888,6.53136731838304,6.86596069876138
7.42776038472972,7.19887836841726,6.95950108881872,6.73733145113209,6.619015360856,7.08349459170317
7.42915268653663,7.26927674443769,6.97150097817657,6.83535215972842,6.76997777971255,7.36955232707051
7.11627243696534,6.91123647461118,6.55535293300263,6.43844286711353,6.45512584499879,7.23104737958057
7.38859172400974,7.31191573603113,7.18136367533466,7.07807719153559,7.0477881856514,7.82953557524969
7.43212739818046,7.33136750883889,7.10545161223347,7.0153384157782,7.10056867695028,7.91313435722203
7.30993141028244,7.23622300919692,7.0154638174206,7.05058172174285,7.0454877819921,7.93444107286215
7.22093077311966,7.06038100079068,6.87246268252948,6.78012131699458,6.92551114471571,7.86450418782302
7.40233803543172,7.35753259482571,7.26325012336625,7.34141026183665,7.4141674089781,8.34021819036152
7.54233958244384,7.52536065383316,7.41530753925831,7.48648789778876,7.63036373927442,8.49847411380615
7.16253773710041,7.04484281571355,6.87348386089497,6.98258944818296,7.11810450600884,8.08044799170011
7.35750910087608,7.27116923342971,7.32863428102831,7.36176087980274,7.52046737598147,8.42344063020803
7.60573882884872,7.66547875589812,7.68955678301605,7.82762688108356,8.01679048035478,8.81533658565857
7.89582023304617,8.11078611662998,8.17010593357828,8.42886128687461,8.4945513593133,9.16095296026983
8.43378627116695,8.71895026590305,8.91605327380209,9.08578448046587,9.15002407272832,9.57235923375702
8.66819303956353,8.92922560006141,9.07650943381354,9.23101694722083,9.34172850709319,9.5697710137101
8.73619515815466,8.91540375149535,9.04377714335948,9.15498145239446,9.29800224764755,9.42351199678475
9.01801548936077,9.19653609158493,9.37523366579417,9.49185920232418,9.6359005403726,9.54671821822008
9.1202441145243,9.26033992284919,9.35183935874981,9.53985911721616,9.68047747159607,9.41466385022827
9.37116888066368,9.55093207396089,9.69979832596504,9.94817647441292,9.98760179768431,9.53912285867115
9.53545947816527,9.68921233013575,9.80554877905906,9.97442766293671,10.064462440001,9.4489914904725
9.6697007190051,9.83403644897217,9.99162555421863,10.1701073950401,10.1822748676692,9.42052948168623
9.92340126423956,10.0812213601037,10.2783009470494,10.3632698151075,10.3888874242416,9.43722004611183
9.88167929035919,9.99023692956702,10.0730339593399,10.1561474870205,10.1431630914667,9.17682781041491
10.1575349243649,10.3480007308136,10.5026968346023,10.556694581682,10.4596013517323,9.34262043684295
10.5304013501234,10.7915350836821,10.8951828160069,10.9408518375025,10.8177847522759,9.48521313347845
10.9344151842601,11.2454864772246,11.3535114133452,11.3972755738958,11.1431862561401,9.60445926759182
11.004370615529,11.1601036941546,11.1569293649576,11.046941989147,10.7870899425718,9.25497961278664
10.4621978337842,10.3467674752165,10.166118473198,9.94597000806352,9.71563739776925,8.50656535921011
10.3608970001367,10.176493411695,10.0188716245281,9.75902910663803,9.53550897750286,8.51178349993425
10.25394347812,10.053670548527,9.76111062481595,9.53490019863765,9.40480071469309,8.50223155694697
10.0810149044587,9.93889579262281,9.59493480233103,9.4379302492857,9.22659770006641,8.39921205772111
10.0534225942933,9.87953976340352,9.57795831163706,9.30728083220442,9.10824907320113,8.28325007135596
10.0395562783897,9.87452637515539,9.57018075977425,9.3185070144221,9.1049637411902,8.31421403327902
9.32742662172832,8.94963854183055,8.3948770758731,8.06176320164752,7.95311141795725,7.57376545902693
9.28298331124078,8.99988635408994,8.66160569958653,8.411048454711,8.21589925622857,7.87187449714858
9.1502595175371,8.81387714420323,8.36678599515991,8.08334796849335,8.09702826998027,7.80402913361052
8.57483023391996,8.20692583165495,7.68148839232379,7.55852439311875,7.48829002594484,7.44354116819643
8.36966495863378,7.98592448557528,7.59615361860754,7.32299251410066,7.33940956023245,7.31460558340206
8.11328451662857,7.74846827397694,7.36162343042522,7.21968198049379,7.26972803684185,7.37334051868722
7.82631442996259,7.4949158200615,7.1037796242277,7.03069064882916,7.10741285104263,7.26541279800519
7.63910715695434,7.37808211894227,7.08842193302436,7.04232998069652,7.10897020599505,7.2847457277256
7.68923084203025,7.52874272749587,7.35734989606422,7.34111234649677,7.42337567542932,7.52010212676678
7.63398611658482,7.52373103431278,7.38413736452418,7.41589392655973,7.494385187482,7.57902268525256
7.34574358894486,7.17994853325416,7.00752385782231,7.02344527731846,7.09963384068622,7.26319931728727
7.12325016728851,6.93730143424575,6.81120044702045,6.79350776753065,6.89230372096487,7.17800692929634
7.42421679722576,7.4181301536783,7.44897353335583,7.52149824228601,7.62628652308611,7.73077921916801
7.51700519210216,7.58786001057343,7.57887888279239,7.70368844988493,7.81193442602005,7.80483359805731
7.31220591172561,7.33537071977317,7.30704533224769,7.40997028961629,7.44236823874956,7.49341847350252
7.44879044508089,7.47560382384728,7.5556124650067,7.57328460284704,7.62192140454534,7.61767328275636
7.22894327722691,7.1740091568647,7.11240641066023,7.14794645542906,7.26639154566518,7.40557666500582
7.24327969304391,7.20992858071952,7.2167000588246,7.33074996066322,7.3674075094973,7.47462662764971
7.32914351676412,7.33526481070239,7.37864797236869,7.41732108397299,7.51384920680225,7.56437027413201
7.18423632103268,7.18526748837915,7.16983966350351,7.26868053204569,7.33354642706694,7.44764172056065
7.21107286039489,7.21453247170634,7.25503695990089,7.29971127450183,7.3711185878606,7.4565815649487
7.30611416874359,7.3520213526087,7.40702776174832,7.47652742029482,7.55890642873122,7.58475561881834
7.21828648038156,7.24452448132535,7.23758179544547,7.30786906928292,7.39966368401257,7.44847592348245
7.40499715029422,7.4974073393674,7.59262581661557,7.67930655365435,7.71455987248319,7.63392474418062
7.47335703717973,7.54758638157532,7.59795464622457,7.64297253965252,7.72029256989456,7.60622664133428
7.11273599513673,7.05979612542163,6.97674058468377,7.03606236796724,7.10125917388627,7.16708715906621
7.0803142061573,7.01226029591581,7.01435037742681,7.0218880921876,7.09717128286137,7.17750963955709
7.07862976408333,7.03259665714033,7.0118710929055,7.05420517403161,7.19157952173435,7.26717973290336
6.95389211273871,6.9173110506904,6.8768733128182,6.99174924481089,7.09378886170752,7.18114214586464
6.9922995725351,6.98757597137244,7.02318048581095,7.09458555736051,7.18023302175796,7.19794717904757
6.70085529204908,6.61019803783989,6.5485285286938,6.58191804508666,6.71887674121342,6.87805622748413
7.12469584487585,7.23980904569196,7.41277967066949,7.55517031150941,7.60019106651235,7.50569366497393
7.30473935718471,7.44664556971277,7.53173435942124,7.6252630876889,7.73887315884742,7.54620764396387
7.11807986166614,7.2160159286854,7.25389109089541,7.40964124813127,7.38355048769647,7.23656057388633
7.29220022821872,7.36339031084745,7.49648527084855,7.48647319633642,7.50392355702586,7.29282785957052
7.22435433893457,7.25615574708526,7.2786065690593,7.31594436304004,7.37070527780767,7.21405984861892
7.00672186998717,6.97046118391552,6.92497671321457,6.96355920576328,7.00000958415628,6.93742339781276
6.88630228143592,6.81142766369875,6.78483372535678,6.78501503997443,6.83237717470806,6.82624915171217
6.96571333886104,6.94846541601862,6.95696440637621,6.99116232182517,7.06613712390091,7.02046482481312
6.98633258070143,7.01056572479544,7.00539384959617,7.07796528513123,7.14490810971846,7.057065383308
6.90904389455596,6.91263949791918,6.90539230884682,6.9593009970715,6.9894031089708,6.90602551851423
6.61237918946028,6.50278070983781,6.43153368475318,6.41215337839002,6.48032574656405,6.55279069125715
6.53583063182608,6.43881295438169,6.41072415566543,6.42967341466548,6.5077837443958,6.61824434432843
6.56172290939643,6.51731382896172,6.4968537503016,6.54596434010315,6.67239749751599,6.75335120147483
6.560359290876,6.57460136708034,6.57313913657195,6.68393035405276,6.7600684379362,6.78518636516676
6.32080159736566,6.25355231756062,6.20132355332749,6.22772485953155,6.32136492514495,6.43874429350725
6.25464838645651,6.18856174111396,6.20024120987627,6.25067912302969,6.32386489864889,6.46979482287144
6.18674791410173,6.12092674465365,6.10334590651631,6.14233490005911,6.29295686381966,6.46632347554594
6.04017804832549,5.99480537395295,5.96850915662197,6.08152604934443,6.19185340716971,6.39293009227103
5.99142152265401,5.94809611938792,5.96127216259516,6.02598483179034,6.14562036491782,6.34619949553431
5.87142773558148,5.82494923417019,5.82848929944146,5.91383382101533,6.0476989386331,6.28510195945192
5.97408964790941,5.99795217810778,6.07848017713039,6.19675147243938,6.31812209043789,6.47936718296483
5.81900924797786,5.80941269479074,5.81913852336714,5.91141533660685,6.05998454775965,6.27662638162066
5.67608093638697,5.64804767453966,5.68201162625365,5.7891832912178,5.8915996038531,6.15499217233156
5.70404117955277,5.69016717790316,5.76099871324618,5.84275543361797,5.98990241400456,6.24574164651656
5.67766834312126,5.70258097078604,5.76014686373389,5.90609241501219,6.05321861058994,6.29812014057926
5.71189281015213,5.76867491328764,5.86302489355181,6.00112638231448,6.11963331132135,6.3182847384236
5.43045371120179,5.3900231934854,5.40074902113719,5.4793158539621,5.61415383299871,5.94670955802243
5.56476806107868,5.59288797492591,5.73233101211294,5.86946013602317,5.97092029310563,6.23170812250454
5.44150213454367,5.43566724512463,5.47237808506771,5.56268645021642,5.75295060394967,6.08003671988032
5.35006298376697,5.38313974992563,5.45347089957897,5.62964750434534,5.73034959831503,6.0536044748454
5.6484069247155,5.75550982026056,5.94752629724555,6.06230779642223,6.19960168418814,6.37784447849489
5.44000126192905,5.4942479587272,5.54714395648931,5.68355569091528,5.82797158842428,6.10262273082582
5.41439053346954,5.45877459387099,5.57178571530327,5.70226298611544,5.77948963400245,6.05931191375137
5.34539940641381,5.34083238680767,5.41755401625614,5.48543791289583,5.64493603430275,5.98873496518021
5.26905131657096,5.28829087898916,5.35179574584284,5.50309316225385,5.64425153841304,6.02162590883951
5.41862907921756,5.49242139888162,5.6315582439182,5.77209143767906,5.91534599476615,6.2141727395191
5.23658270486088,5.2566406147449,5.30996037869754,5.43683095231548,5.58697194118991,5.97489984601668
5.00002484387168,4.9518260369147,4.99020646884841,5.09264989929335,5.22162647828699,5.73835434017072
5.17850947449506,5.20801616104376,5.35638013537395,5.48526202037891,5.64644878557522,6.09731317354066
5.20993818178216,5.29097991740436,5.39461646964872,5.5733270660425,5.76217981659513,6.18836707518048
5.32031367821145,5.46422191434813,5.63414482505773,5.84254601393433,5.93474444849913,6.29279728489344
